Id,Label,tipo,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,nodecolor-multimode,X,Y,Size,Color
11759fd5e179fae17688272e6d7d56e6,,User,4,10,14,6,0.281603,0.300461,0,1,91,blue,5.018133,-473.766235,10,"#000000"
1418b529e5ff3989731c564773316153,,User,5,9,14,6,0.281603,0.300461,0,1,91,blue,339.011871,431.137146,10,"#000000"
206d0d29a5a08bc83174955b2d3adc48,,User,6,34,40,6,0.285757,0.313582,180081,0.533333,416,blue,222.46463,-216.845444,10,"#000000"
32274f524cd964435c9435d985243bfb,,User,8,6,14,6,0.281603,0.300461,0,1,91,blue,-140.557495,52.871628,10,"#000000"
971e0e60dd140076417cf2975f44b1ed,,User,9,5,14,6,0.281603,0.300461,0,1,91,blue,-229.135406,454.302612,10,"#000000"
9b31fc5efaadcbf5c988f1fa463b8684,,User,10,4,14,6,0.281603,0.300461,0,1,91,blue,348.722809,-365.392761,10,"#000000"
bd530726acd56ffe8fa2fe57640af1f2,,User,11,3,14,6,0.281603,0.300461,0,1,91,blue,-244.814178,72.606125,10,"#000000"
bdfba4b568ff4264ec0a920c3a012f1c,,User,12,2,14,6,0.281603,0.300461,0,1,91,blue,111.662514,314.239014,10,"#000000"
bf59463e9980947ed756f3911143b2cd,,User,13,1,14,6,0.281603,0.300461,0,1,91,blue,-14.533351,-91.563614,10,"#000000"
d497ad1187c3e135c86d045fb85ec902,,User,14,0,14,6,0.281603,0.300461,0,1,91,blue,-177.52536,507.984375,10,"#000000"
08ca3e115d169a44e0c65e5c96fc4bb8,,User,1,8,9,3,0.434004,0.464777,0,1,36,blue,-71.543694,-221.233658,10,"#000000"
14ec50678b484e07b5549cb598eb7653,,User,2,7,9,3,0.434004,0.464777,0,1,36,blue,120.562538,369.811035,10,"#000000"
62d3b17870d9e23fe345e9afaefb3e14,,User,3,6,9,3,0.434004,0.464777,0,1,36,blue,270.370697,479.018799,10,"#000000"
a5fa837439388e1142e5bb472dd95861,,User,4,5,9,3,0.434004,0.464777,0,1,36,blue,-326.849884,389.072083,10,"#000000"
bafc6eec65e7bc92a0a7e89fc32eb6e4,,User,5,4,9,3,0.434004,0.464777,0,1,36,blue,-197.535767,-480.725128,10,"#000000"
